"Wikipedia name
 in English","Wikipedia name
in native language",Language,"Script (ISO
15924 code)","WP
code","Active
users",Launch date,Logo
English Wikipedia,English Wikipedia,English,Latn,en,"116,651","<span data-sort-value=""000000002001-01-15-0000"" style=""white-space:nowrap"">15 January 2001",
German Wikipedia,Deutschsprachige Wikipedia,German,Latn,de,"16,984","<span data-sort-value=""000000002001-03-16-0000"" style=""white-space:nowrap"">16 March 2001",
French Wikipedia,Wikipédia en français,French,Latn,fr,"16,611","<span data-sort-value=""000000002001-03-23-0000"" style=""white-space:nowrap"">23 March 2001",
Spanish Wikipedia,Wikipedia en español,Spanish,Latn,es,"14,735","<span data-sort-value=""000000002001-05-20-0000"" style=""white-space:nowrap"">20 May 2001",
Japanese Wikipedia,"ウィキペディア日本語版
(Wikipedia nihongo-ban)",Japanese,Jpan,ja,"12,885","<span data-sort-value=""000000002001-05-20-0000"" style=""white-space:nowrap"">20 May 2001",
Russian Wikipedia,"Русская Википедия
(Russkaya Vikipediya)",Russian,Cyrl,ru,"9,219","<span data-sort-value=""000000002001-05-20-0000"" style=""white-space:nowrap"">20 May 2001",
Portuguese Wikipedia,Wikipédia em português,Portuguese,Latn,pt,"8,440","<span data-sort-value=""000000002001-05-11-0000"" style=""white-space:nowrap"">11 May 2001",
Italian Wikipedia,Wikipedia in italiano,Italian,Latn,it,"7,935","<span data-sort-value=""000000002001-05-11-0000"" style=""white-space:nowrap"">11 May 2001",
Chinese Wikipedia,"Traditional Chinese: 中文維基百科,
simplified Chinese: 中文维基百科
(pinyin: Zhōngwén wéijī bǎikē)","Chinese (written
vernacular Chinese)",Hans/Hant,zh,"7,356","<span data-sort-value=""000000002002-10-24-0000"" style=""white-space:nowrap"">24 October 2002",
Persian Wikipedia,"ویکی‌پدیای فارسی
(Vikipediā-ye Fārsi)",Persian,Arab,fa,"5,606","<span data-sort-value=""000000002003-12-19-0000"" style=""white-space:nowrap"">19 December 2003",
Polish Wikipedia,Polskojęzyczna Wikipedia,Polish,Latn,pl,"4,503","<span data-sort-value=""000000002001-06-26-0000"" style=""white-space:nowrap"">26 June 2001",
Arabic Wikipedia,"ويكيبيديا العربية
(Wīkībīdiyā al-ʿarabiyya)",Arabic,Arab,ar,"3,836","<span data-sort-value=""000000002003-07-08-0000"" style=""white-space:nowrap"">8 July 2003",
Dutch Wikipedia,Nederlandstalige Wikipedia,Dutch,Latn,nl,"3,750","<span data-sort-value=""000000002001-06-19-0000"" style=""white-space:nowrap"">19 June 2001",
Hebrew Wikipedia,"ויקיפדיה העברית
(Vikipedya ha-ivrit)",Hebrew,Hebr,he,"3,525","<span data-sort-value=""000000002003-07-08-0000"" style=""white-space:nowrap"">8 July 2003",
Ukrainian Wikipedia,"Українська Вікіпедія
(Ukrayinsʹka Vikipediya)",Ukrainian,Cyrl,uk,"3,156","<span data-sort-value=""000000002004-01-30-0000"" style=""white-space:nowrap"">30 January 2004",
Turkish Wikipedia,Türkçe Vikipedi,Turkish,Latn,tr,"2,801","<span data-sort-value=""000000002002-12-05-0000"" style=""white-space:nowrap"">5 December 2002",
